ccf_ap	ccf_dv	ccf_lr	allen_ontology
8221.9	2825.4	2203.8	CA1
8198.6	2806.3	2161.5	CA1
8217.3	2806.3	2187.4	CA1
8212.8	2787.2	2170.9	CA1
8231.6	2787.2	2196.8	CA1
8208.3	2768.2	2154.4	CA1
8227.1	2768.2	2180.3	CA1
8222.6	2749.1	2163.8	CA1
8241.3	2749.1	2189.7	CA1
8218	2730	2147.3	CA1
8236.8	2730	2173.2	CA1
8232.3	2710.9	2156.7	CA1
8251.1	2710.9	2182.6	CA1
8227.8	2691.9	2140.3	CA1
8246.6	2691.9	2166.2	CA1
8242.1	2672.8	2149.7	CA1
8260.8	2672.8	2175.6	CA1
8237.5	2653.7	2133.2	CA1
8256.3	2653.7	2159.1	CA1
8251.8	2634.6	2142.6	CA1
8270.6	2634.6	2168.5	CA1
8247.3	2615.6	2126.1	CA1
8266.1	2615.6	2152	CA1
8261.5	2596.5	2135.5	CA1
8280.3	2596.5	2161.5	CA1
8257	2577.4	2119.1	CA1
8275.8	2577.4	2145	CA1
8271.3	2558.3	2128.5	CA1
8290.1	2558.3	2154.4	CA1
8266.8	2539.3	2112	CA1
8285.5	2539.3	2137.9	CA1
8281	2520.2	2121.4	CA1
8299.8	2520.2	2147.3	CA1
8276.5	2501.1	2104.9	CA1
8290.8	2482.1	2114.3	CA1
8309.6	2482.1	2140.3	CA1
8286.3	2463	2097.9	CA1
8305	2463	2123.8	CA1
8300.5	2443.9	2107.3	CA1
8319.3	2443.9	2133.2	CA1
8296	2424.8	2090.8	CA1
8314.8	2424.8	2116.7	CA1
8310.3	2405.8	2100.2	CA1
8329	2405.8	2126.1	CA1
8305.7	2386.7	2083.7	CA1
8324.5	2386.7	2109.6	CA1
8320	2367.6	2093.1	CA1
8338.8	2367.6	2119.1	CA1
8315.5	2348.5	2076.7	CA1
8334.3	2348.5	2102.6	CA1
8329.8	2329.5	2086.1	CA1
8348.5	2329.5	2112	CA1
8325.2	2310.4	2069.6	CA1
8344	2310.4	2095.5	CA1
8339.5	2291.3	2079	CA1
8358.3	2291.3	2104.9	CA1
8335	2272.3	2062.5	VISl
8353.8	2272.3	2088.4	VISl
8349.2	2253.2	2071.9	VISl
8368	2253.2	2097.9	VISl
8344.7	2234.1	2055.5	VISl
8363.5	2234.1	2081.4	VISl
8359	2215	2064.9	VISl
8377.8	2215	2090.8	VISl
8354.5	2196	2048.4	VISl
8373.3	2196	2074.3	VISl
8368.7	2176.9	2057.8	VISl
8387.5	2176.9	2083.7	VISl
8364.2	2157.8	2041.3	VISl
8383	2157.8	2067.2	VISl
8397.3	2138.7	2076.7	VISl
8374	2119.7	2034.3	VISl
8392.7	2119.7	2060.2	VISl
8388.2	2100.6	2043.7	VISl
8407	2100.6	2069.6	VISl
8383.7	2081.5	2027.2	VISl
8402.5	2081.5	2053.1	VISl
8398	2062.5	2036.6	VISl
8416.8	2062.5	2062.5	VISl
8393.4	2043.4	2020.1	VISl
8412.2	2043.4	2046	VISl
